Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Avg_Utilization_Ratio,Age_Bin,Churn,Attrition_Flag_Churned,Customer_Count
Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,1,12691.0,777,11914.0,1.335,1144,0.061,40-45,0,0,1
Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,1,8256.0,864,7392.0,1.541,1291,0.105,45-50,0,0,1
Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,1,3418.0,0,3418.0,2.594,1887,0.0,50-55,0,0,1
Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,4,3313.0,2517,796.0,1.405,1171,0.76,35-40,0,0,1
Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,1,4716.0,0,4716.0,2.175,816,0.0,35-40,0,0,1
Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,1,4010.0,1247,2763.0,1.376,1088,0.311,40-45,0,0,1
Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,1,34516.0,2264,32252.0,1.975,1330,0.066,50-55,0,0,1
Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,29081.0,1396,27685.0,2.204,1538,0.048,30-35,0,0,1
Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,2,22352.0,2517,19835.0,3.355,1350,0.113,35-40,0,0,1
Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,3,11656.0,1677,9979.0,1.524,1441,0.144,45-50,0,0,1
Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,3,6748.0,1467,5281.0,0.831,1201,0.217,40-45,0,0,1
Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,2,9095.0,1587,7508.0,1.433,1314,0.174,60+,0,0,1
Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,6,11751.0,0,11751.0,3.397,1539,0.0,55-60,0,0,1
Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,1,8547.0,1666,6881.0,1.163,1311,0.195,30-35,0,0,1
Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,2,2436.0,680,1756.0,1.19,1570,0.279,55-60,0,0,1
Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,1,4234.0,972,3262.0,1.707,1348,0.23,40-45,0,0,1
Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,2,30367.0,2362,28005.0,1.708,1671,0.078,45-50,0,0,1
Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,13535.0,1291,12244.0,0.653,1028,0.095,40-45,0,0,1
Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,3193.0,2517,676.0,1.831,1336,0.788,60+,0,0,1
Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,1,14470.0,1157,13313.0,0.966,1207,0.08,40-45,0,0,1
Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,2,20979.0,1800,19179.0,0.906,1178,0.086,45-50,0,0,1
Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,3,1438.3,0,1438.3,1.047,692,0.0,60+,1,1,1
Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,2,4470.0,680,3790.0,1.608,931,0.152,40-45,0,0,1
Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,2492.0,1560,932.0,0.573,1126,0.626,45-50,0,0,1
Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,2,12217.0,0,12217.0,1.075,1110,0.0,50-55,0,0,1
Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,1,7768.0,1669,6099.0,0.797,1051,0.215,40-45,0,0,1
Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,1,14784.0,1374,13410.0,0.921,1197,0.093,55-60,0,0,1
Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,10215.0,1010,9205.0,0.843,1904,0.099,60+,0,0,1
Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,2,10100.0,0,10100.0,0.525,1052,0.0,40-45,0,0,1
Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,0,4785.0,1362,3423.0,0.739,1045,0.285,45-50,0,0,1
Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,2,2753.0,1811,942.0,0.977,1038,0.658,50-55,0,0,1
Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,5,2451.0,1690,761.0,1.323,1596,0.69,50-55,0,0,1
Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,1,8923.0,2517,6406.0,1.726,1589,0.282,40-45,0,0,1
Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,2,2650.0,1490,1160.0,1.75,1411,0.562,50-55,0,0,1
Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,2,12555.0,1696,10859.0,0.519,1291,0.135,55-60,0,0,1
Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,2,3520.0,1914,1606.0,0.51,1407,0.544,50-55,0,0,1
Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,2,3035.0,2298,737.0,1.724,1877,0.757,50-55,0,0,1
Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,3,15433.0,0,15433.0,0.865,966,0.0,40-45,0,0,1
Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3672.0,886,2786.0,1.32,1464,0.241,55-60,0,0,1
